"Name","Network type","Devices","Offline devices","% offline","Clients","Usage","Tags","Repeater APs","Created Date","Template","Firmware status","Firmware security","Last PCI scan"
"B-LJ-AMM-0019082-P2-EE","Combined","1","0","0.0%","2","581.1 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-JL-CO-0012411-MT-EE","Combined","1","0","0.0%","2","852.5 MB"," VSAT ","0","","","Up to date","Secure","None"
"B-LJ-CO-0018478-BA-EE","Combined","1","0","0.0%","2","720.6 MB"," VSAT ","0","","","Up to date","Secure","None"
"B-LJ-CO-0011068-AM-EE","Combined","1","0","0.0%","1","459.7 MB"," VSAT ","0","","","Up to date","Secure","None"
"B-LJ-EP-0007485-BA-FF","Combined","1","0","0.0%","2","451.8 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0004564-MG-EE","Combined","1","0","0.0%","3","996.4 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0014200-RN-EE","Combined","1","0","0.0%","2","581.6 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019913-PE-EE","Combined","1","0","0.0%","3","373.5 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019906-PE-EE","Combined","1","0","0.0%","3","416.8 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0011011-MG-EE","Combined","1","0","0.0%","2","430.1 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0007091-CE-EE","Combined","1","0","0.0%","3","292.4 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0018708-RJ-EE","Combined","1","0","0.0%","1","459.2 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019912-PE-EE","Combined","1","0","0.0%","3","607.0 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-EP-0014393-BA-FF","Combined","1","0","0.0%","3","508.1 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0017573-PE-EE","Combined","1","0","0.0%","2","1.15 GB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CP-0019480-CE-EE","Combined","1","0","0.0%","2","937.8 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0014164-CE-EE","Combined","1","0","0.0%","6","884.5 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019762-RJ-EE","Combined","1","0","0.0%","2","880.5 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0012710-RJ-EE","Combined","1","0","0.0%","2","831.1 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019903-PE-EE","Combined","1","0","0.0%","4","954.9 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AS-0014538-PA-EE","Combined","1","0","0.0%","2","5.31 GB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0013115-MG-EE","Combined","1","0","0.0%","3","1.53 GB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0019044-MG-EE","Combined","1","1","100.0%","0","None"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0012934-PE-EE","Combined","1","0","0.0%","2","2.05 GB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0013091-MG-EE","Combined","1","0","0.0%","2","1.58 GB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0018709-RJ-EE","Combined","1","0","0.0%","1","2.80 GB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AS-0005150-PA-EE","Combined","1","0","0.0%","6","1017.5 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AS-0017763-PA-EE","Combined","1","0","0.0%","2","491.9 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019936-PE-EE","Combined","1","0","0.0%","3","427.1 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CP-0013053-SC-EE","Combined","1","0","0.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0019898-SP-EE","Combined","1","0","0.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-EP-0007514-RJ-FF","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
" B-LJ-EP-0008788-SP-FF","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-EP-0007112-PR-FF","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-EP-0007336-BA-FF","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-EP-0011887-AM-FF","Combined","2","2","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0018872-PR-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"BC-UTBOT03-PR-EE","Combined","3","0","0.0%","6","544.6 MB"," TEMPLATE ","0","","","Upgrade scheduled","Secure","None"
"B-LJ-EP-0011956-RJ-FF","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"Q-LJ-CO-0910085-SP-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0019529-ES-EE","Combined","1","0","0.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0007215-BA-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0005307-SP-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CP-0013443-SP-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0013240-ES-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"Q-LJ-CO-0910285-CE-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0016874-SP-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-AM-0016493-RJ-FE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-AM-0019352-BA-FE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0017520-MS-EE","Combined","2","0","0.0%","6","1.57 GB"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-EP-0008272-SC-FF","Combined","1","0","0.0%","1","1.06 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0005573-DF-EE","Combined","1","0","0.0%","2","1.04 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"T-LJ-CO-0019541-SP-EE","Combined","2","1","50.0%","4","1.72 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0012574-SP-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0018920-SP-EE","Combined","2","0","0.0%","13","2.41 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CP-0013066-DF-EE","Combined","1","0","0.0%","4","553.9 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-EP-0011790-MG-FF","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CS-0013265-SP-EE","Combined","1","0","0.0%","2","872.2 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019672-PA-EE","Combined","1","0","0.0%","1","641.2 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019692-PA-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0006504-SP-EE","Combined","1","0","0.0%","1","1.09 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CP-0013156-MG-EE","Combined","1","0","0.0%","3","1.23 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0013079-DF-EE","Combined","1","0","0.0%","3","613.1 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0016488-RJ-EE","Combined","1","0","0.0%","2","1.51 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"Q-LJ-EP-0901965-MT-FF","Combined","1","0","0.0%","3","2.70 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0011392-MA-EE","Combined","1","0","0.0%","1","820.6 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0014052-RJ-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019420-BA-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-EP-0008110-PE-FF","Combined","1","0","0.0%","1","545.9 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CS-0012762-GO-EE","Combined","1","0","0.0%","3","1.31 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AS-0017572-SP-EE","Combined","2","2","100.0%","0","None"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0011713-MA-EE","Combined","1","0","0.0%","3","648.5 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-EP-0014377-GO-FF","Combined","1","0","0.0%","1","725.2 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0019348-BA-EE","Combined","1","0","0.0%","1","512.7 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
