"Name","Network type","Devices","Offline devices","% offline","Clients","Usage","Tags","Repeater APs","Created Date","Template","Firmware status","Firmware security","Last PCI scan"
"B-LJ-AM-0019582-PE-EE","Combined","1","0","0.0%","2","540.6 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0012411-MT-EE","Combined","1","0","0.0%","2","871.9 MB"," VSAT ","0","","","Up to date","Secure","None"
"B-LJ-CO-0018478-BA-EE","Combined","1","0","0.0%","2","834.5 MB"," VSAT ","0","","","Up to date","Secure","None"
"B-LJ-CO-0011068-AM-EE","Combined","1","0","0.0%","1","490.1 MB"," VSAT ","0","","","Up to date","Secure","None"
"B-LJ-EP-0007485-BA-FF","Combined","1","0","0.0%","2","447.1 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0004564-MG-EE","Combined","1","0","0.0%","3","1018.2 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0014200-RN-EE","Combined","1","0","0.0%","2","535.1 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019913-PE-EE","Combined","1","0","0.0%","3","338.3 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019906-PE-EE","Combined","1","0","0.0%","3","412.1 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0011011-MG-EE","Combined","1","0","0.0%","2","408.8 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0007091-CE-EE","Combined","1","0","0.0%","3","408.6 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0018708-RJ-EE","Combined","1","0","0.0%","1","454.5 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019912-PE-EE","Combined","1","0","0.0%","3","576.9 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-EP-0014393-BA-FF","Combined","1","0","0.0%","3","550.4 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0017573-PE-EE","Combined","1","0","0.0%","2","3.29 GB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CP-0019480-CE-EE","Combined","1","0","0.0%","2","730.2 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0014164-CE-EE","Combined","1","0","0.0%","6","893.6 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019762-RJ-EE","Combined","1","0","0.0%","2","727.0 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0012710-RJ-EE","Combined","1","0","0.0%","2","869.3 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019903-PE-EE","Combined","1","0","0.0%","4","971.6 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AS-0014538-PA-EE","Combined","1","0","0.0%","2","4.95 GB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0013115-MG-EE","Combined","1","0","0.0%","3","1.60 GB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0019044-MG-EE","Combined","1","1","100.0%","0","None"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0012934-PE-EE","Combined","1","0","0.0%","2","1.99 GB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0013091-MG-EE","Combined","1","0","0.0%","2","1.57 GB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0018709-RJ-EE","Combined","1","0","0.0%","1","2.61 GB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AS-0005150-PA-EE","Combined","1","0","0.0%","6","1.04 GB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AS-0017763-PA-EE","Combined","1","0","0.0%","2","515.6 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019936-PE-EE","Combined","1","0","0.0%","3","423.1 MB"," VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-EP-0019751-CE-FF","Combined","1","0","0.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-AM-0013558-MG-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-AM-0018141-RJ-EE","Combined","1","0","0.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"E-ER-CP-000JC70-MG-EE","Combined","3","0","0.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0019898-SP-EE","Combined","1","0","0.0%","3","97.3 MB"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-EP-0007514-RJ-FF","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
" B-LJ-EP-0008788-SP-FF","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-EP-0007112-PR-FF","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-EP-0007336-BA-FF","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-EP-0011887-AM-FF","Combined","2","2","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"BC-UTBOT03-PR-EE","Combined","3","0","0.0%","6","564.1 MB"," TEMPLATE ","0","","","Upgrade scheduled","Secure","None"
"B-LJ-EP-0011956-RJ-FF","Combined","1","0","0.0%","1","7.0 MB"," TEMPLATE ","0","","","Up to date","Secure","None"
"Q-LJ-CO-0910085-SP-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0019529-ES-EE","Combined","1","0","0.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0007215-BA-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0005307-SP-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CP-0013443-SP-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0013240-ES-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"Q-LJ-CO-0910285-CE-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0016874-SP-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-AM-0016493-RJ-FE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-AM-0019352-BA-FE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-0017520-MS-EE","Combined","2","0","0.0%","6","2.35 GB"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-EP-0008272-SC-FF","Combined","1","0","0.0%","1","1.08 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0005573-DF-EE","Combined","1","0","0.0%","2","1.11 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"T-LJ-CO-0019541-SP-EE","Combined","2","1","50.0%","4","1.55 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0012574-SP-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0018920-SP-EE","Combined","2","0","0.0%","13","2.54 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CP-0013066-DF-EE","Combined","1","0","0.0%","4","610.3 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-EP-0011790-MG-FF","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CS-0013265-SP-EE","Combined","1","0","0.0%","2","598.0 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019672-PA-EE","Combined","1","0","0.0%","1","667.6 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019692-PA-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0006504-SP-EE","Combined","1","0","0.0%","1","980.8 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CP-0013156-MG-EE","Combined","1","0","0.0%","3","1.22 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0013079-DF-EE","Combined","1","0","0.0%","3","743.9 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0016488-RJ-EE","Combined","1","0","0.0%","2","1.99 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"Q-LJ-EP-0901965-MT-FF","Combined","1","0","0.0%","3","2.62 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0011392-MA-EE","Combined","1","0","0.0%","1","732.4 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0014052-RJ-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AM-0019420-BA-EE","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-EP-0008110-PE-FF","Combined","1","0","0.0%","1","342.5 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CS-0012762-GO-EE","Combined","1","0","0.0%","3","1.23 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AS-0017572-SP-EE","Combined","2","2","100.0%","0","None"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0011713-MA-EE","Combined","1","0","0.0%","2","803.2 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-EP-0014377-GO-FF","Combined","1","0","0.0%","1","467.0 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0019348-BA-EE","Combined","1","0","0.0%","1","566.4 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"Q-LJ-AS-0910146-RS-EE","Combined","2","2","100.0%","0","None"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-EP-0008201-SE-FF","Combined","1","0","0.0%","2","1.01 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0017581-MA-EE","Combined","1","0","0.0%","1","795.7 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0011814-BA-EE","Combined","1","0","0.0%","2","474.3 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CS-0005761-SP-EE","Combined","1","0","0.0%","2","1.18 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-AS-0017989-RS-EE","Combined","1","0","0.0%","2","654.7 MB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-0019619-SP-EE","Combined","1","0","0.0%","0","None"," TEMPLATE ","0","","","Upgrade available","Secure","None"
