"Name","Network type","Devices","Offline devices","% offline","Clients","Usage","Tags","Repeater APs","Created Date","Template","Firmware status","Firmware security","Last PCI scan"
"B-LJ-CO-1233543-AM-EE","Combined","1","0","0.0%","2","979.8 MB"," 1BLS 2BLM ","0","","","Upgrade available","Secure","None"
" B-LJ-EP-7123123-SP-FF","Combined","1","1","100.0%","0","None"," TEMPLATE ","0","","","Up to date","Secure","None"
"B-LJ-CO-42323-BA-EE","Combined","1","0","0.0%","2","337.4 MB"," 2BLF VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CP-3345789-EE","Combined","1","1","100.0%","3","1.47 GB"," 2BLM VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-6543875-SP-EE-NEW","Combined","0","0","N/A","0","None"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-9543975-SP-EE ","Combined","2","0","0.0%","4","1.32 GB"," 2BLM AP1 VSAT ","0","","","Upgrade available","Secure","None"
"B-LJ-EP-2345123-GO-Ff","Combined","2","0","0.0%","4","644.4 MB"," 1BLS 2BLM AP1 ","0","","","Upgrade available","Secure","None"
"B-LJ-CO-1233543-AM-EE ","Combined","1","0","0.0%","2","979.8 MB"," 1BLS 2BLM ","0","","","Upgrade available","Secure","None"
"Q-RS-CO-0910138-SP-EE","Combined","1","0","0.0%","2","3.89 GB"," TEMPLATE ","0","","","Upgrade available","Secure","None"
"B-LJ-PP-0017612-SP-FF","Combined","1","0","0.0%","1","562.4 MB"," 1BLS ","0","","","Upgrade available","Secure","None"
"LABTEST","Appliance","0","0","N/A","0","None","","N/A","Oct 02, 2018","","Upgrade available","Secure","None"
